Gene	Rank	Rating	Type	Proximity	QTL	PCHiC	Description
RELA	89	3.225	Peripheral	0	0	0	RELA proto-oncogene, NF-kB subunit
LCE3A	90	3.219	Core	1	0	1	late cornified envelope 3A
FOS	91	3.219	Core	1	0	1	Fos proto-oncogene, AP-1 transcription factor subunit
PFKL	92	3.216	Peripheral	0	0	0	phosphofructokinase, liver type
GTF3C2	93	3.215	Core	1	0	1	general transcription factor IIIC subunit 2
ETS2	94	3.213	Core	0	0	1	ETS proto-oncogene 2, transcription factor
IL2RA	95	3.212	Core	1	0	0	interleukin 2 receptor subunit alpha
IL12RB1	96	3.209	Peripheral	0	0	0	interleukin 12 receptor subunit beta 1
RIPK2	97	3.208	Core	1	0	1	receptor interacting serine/threonine kinase 2
TNFRSF1B	98	3.205	Peripheral	0	0	0	TNF receptor superfamily member 1B
MST1R	99	3.203	Peripheral	0	0	0	macrophage stimulating 1 receptor
LCE3E	100	3.201	Core	1	0	1	late cornified envelope 3E
TNFSF8	101	3.196	Core	1	0	1	TNF superfamily member 8
ITGAL	102	3.187	Core	1	0	0	integrin subunit alpha L
IL9	103	3.184	Peripheral	0	0	0	interleukin 9
TSLP	104	3.176	Peripheral	0	0	0	thymic stromal lymphopoietin
TNFSF15	105	3.17	Core	1	0	1	TNF superfamily member 15
ERC2	106	3.167	Peripheral	0	0	0	ELKS/RAB6-interacting/CAST family member 2
UNC13B	107	3.166	Peripheral	0	0	0	unc-13 homolog B
ICAM4	108	3.164	Core	1	0	1	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)
RIMS1	109	3.163	Peripheral	0	0	0	regulating synaptic membrane exocytosis 1
LTBR	110	3.161	Core	1	0	1	lymphotoxin beta receptor
YWHAZ	111	3.139	Peripheral	0	0	0	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
TNIP1	112	3.137	Core	1	0	0	TNFAIP3 interacting protein 1
REL	113	3.133	Core	1	0	1	REL proto-oncogene, NF-kB subunit
YWHAG	114	3.132	Peripheral	0	0	0	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma
YWHAQ	115	3.13	Peripheral	0	0	0	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta
STAT6	116	3.129	Peripheral	0	0	0	signal transducer and activator of transcription 6
JAK3	117	3.129	Peripheral	0	0	0	Janus kinase 3
MUC1	118	3.123	Core	1	0	0	mucin 1, cell surface associated
PPFIA3	119	3.122	Peripheral	0	0	0	PTPRF interacting protein alpha 3
AKT1	120	3.119	Peripheral	0	0	0	AKT serine/threonine kinase 1
IRGM	121	3.117	Core	1	0	0	immunity related GTPase M
RTEL1-TNFRSF6B	122	3.117	Core	1	0	0	RTEL1-TNFRSF6B readthrough (NMD candidate)
STAT5A	123	3.117	Peripheral	0	0	0	signal transducer and activator of transcription 5A
IKZF3	124	3.116	Core	1	0	0	IKAROS family zinc finger 3
YWHAH	125	3.114	Peripheral	0	0	0	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta
TAB1	126	3.111	Peripheral	0	0	0	TGF-beta activated kinase 1 (MAP3K7) binding protein 1
IST1	127	3.109	Peripheral	0	0	0	IST1 factor associated with ESCRT-III
IL12A	128	3.108	Peripheral	0	0	0	interleukin 12A
SRC	129	3.106	Peripheral	0	0	0	SRC proto-oncogene, non-receptor tyrosine kinase
SFN	130	3.106	Peripheral	0	0	0	stratifin
IL23A	131	3.103	Peripheral	0	0	0	interleukin 23 subunit alpha
FOXO3	132	3.101	Peripheral	0	0	0	forkhead box O3
SH2B3	133	3.099	Core	1	1	0	SH2B adaptor protein 3
GAPDH	134	3.097	Core	0	0	1	glyceraldehyde-3-phosphate dehydrogenase
ITGAX	135	3.096	Core	0	0	1	integrin subunit alpha X
CSF3	136	3.096	Peripheral	0	0	0	colony stimulating factor 3
MAPK3	137	3.094	Peripheral	0	0	0	mitogen-activated protein kinase 3
NUPR1	138	3.088	Core	1	0	1	nuclear protein 1, transcriptional regulator
YWHAE	139	3.086	Peripheral	0	0	0	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon
PDGFB	140	3.086	Core	1	0	0	platelet derived growth factor subunit B
MAPK1	141	3.083	Peripheral	0	0	0	mitogen-activated protein kinase 1
RAB3A	142	3.082	Peripheral	0	0	0	RAB3A, member RAS oncogene family
YWHAB	143	3.079	Peripheral	0	0	0	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta
IKBKG	144	3.079	Peripheral	0	0	0	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
IKBKB	145	3.078	Peripheral	0	0	0	inhibitor of nuclear factor kappa B kinase subunit beta
RNF123	146	3.077	Core	1	0	0	ring finger protein 123
TAB2	147	3.076	Peripheral	0	0	0	TGF-beta activated kinase 1 (MAP3K7) binding protein 2
IL27	148	3.069	Core	1	0	0	interleukin 27
CHUK	149	3.063	Peripheral	0	0	0	component of inhibitor of nuclear factor kappa B kinase complex
HOMER1	150	3.062	Peripheral	0	0	0	homer scaffold protein 1
ETS1	151	3.062	Core	1	0	0	ETS proto-oncogene 1, transcription factor
IRAK4	152	3.05	Core	0	0	1	interleukin 1 receptor associated kinase 4
BIRC3	153	3.047	Peripheral	0	0	0	baculoviral IAP repeat containing 3
PIK3CA	154	3.037	Peripheral	0	0	0	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
TAB3	155	3.025	Peripheral	0	0	0	TGF-beta activated kinase 1 (MAP3K7) binding protein 3
ITGAD	156	3.025	Core	0	0	1	integrin subunit alpha D
SBNO2	157	3.023	Core	1	0	1	strawberry notch homolog 2
ZFP36L2	158	3.016	Core	1	0	1	ZFP36 ring finger protein like 2
PTPN11	159	3.016	Peripheral	0	0	0	protein tyrosine phosphatase non-receptor type 11
PYDC1	160	3.015	Core	0	0	1	pyrin domain containing 1
IL22RA1	161	3.014	Peripheral	0	0	0	interleukin 22 receptor subunit alpha 1
IL10RB	162	3.013	Peripheral	0	0	0	interleukin 10 receptor subunit beta
BIRC2	163	2.996	Peripheral	0	0	0	baculoviral IAP repeat containing 2
IFNA2	164	2.995	Peripheral	0	0	0	interferon alpha 2
CHD1	165	2.994	Core	0	0	1	chromodomain helicase DNA binding protein 1
CTF1	166	2.993	Core	1	0	0	cardiotrophin 1
IL1R2	167	2.993	Core	1	0	0	interleukin 1 receptor type 2
SCNN1A	168	2.992	Core	1	0	1	sodium channel epithelial 1 subunit alpha
TRAF6	169	2.991	Peripheral	0	0	0	TNF receptor associated factor 6
CAST	170	2.987	Core	1	0	0	calpastatin
MAP3K7	171	2.985	Peripheral	0	0	0	mitogen-activated protein kinase kinase kinase 7
STAT2	172	2.981	Peripheral	0	0	0	signal transducer and activator of transcription 2
TSPAN14	173	2.978	Core	1	0	1	tetraspanin 14
KSR1	174	2.976	Core	1	0	0	kinase suppressor of ras 1
IRF5	175	2.962	Core	1	0	0	interferon regulatory factor 5
DNAJC5	176	2.958	Peripheral	0	0	0	DnaJ heat shock protein family (Hsp40) member C5
IL1R1	177	2.957	Core	1	0	0	interleukin 1 receptor type 1
IFNA17	178	2.954	Peripheral	0	0	0	interferon alpha 17
FADD	179	2.952	Peripheral	0	0	0	Fas associated via death domain
IFNLR1	180	2.95	Core	1	0	0	interferon lambda receptor 1
RIPK1	181	2.949	Peripheral	0	0	0	receptor interacting serine/threonine kinase 1
IFNA21	182	2.946	Peripheral	0	0	0	interferon alpha 21
ERAP1	183	2.941	Core	1	0	0	endoplasmic reticulum aminopeptidase 1
LRRK2	184	2.939	Core	1	0	0	leucine rich repeat kinase 2
RNU6-586P	185	2.937	Core	1	0	0	RNA, U6 small nuclear 586, pseudogene
GRB2	186	2.937	Peripheral	0	0	0	growth factor receptor bound protein 2
RPL10P14	187	2.937	Core	0	0	1	ribosomal protein L10 pseudogene 14
SNORA70	187	2.937	Core	0	0	1	small nucleolar RNA, H/ACA box 70
LCE2C	189	2.933	Core	0	0	1	late cornified envelope 2C
VMP1	190	2.933	Core	1	0	1	vacuole membrane protein 1
IRF8	191	2.931	Core	0	0	1	interferon regulatory factor 8
CARD9	192	2.93	Core	1	0	0	caspase recruitment domain family member 9
BCL3	193	2.93	Peripheral	0	0	0	BCL3 transcription coactivator
LIF	194	2.929	Peripheral	0	0	0	LIF interleukin 6 family cytokine
CEBPA	195	2.927	Peripheral	0	0	0	CCAAT enhancer binding protein alpha
GRIN1	196	2.924	Peripheral	0	0	0	glutamate ionotropic receptor NMDA type subunit 1
HRAS	197	2.921	Peripheral	0	0	0	HRas proto-oncogene, GTPase
LCE2B	198	2.916	Core	0	0	1	late cornified envelope 2B
TRAF2	199	2.916	Peripheral	0	0	0	TNF receptor associated factor 2
OSMR	200	2.913	Core	1	0	0	oncostatin M receptor
ATE1	201	2.905	Peripheral	0	0	0	arginyltransferase 1
ROBO2	202	2.904	Peripheral	0	0	0	roundabout guidance receptor 2
OPTN	203	2.897	Peripheral	0	0	0	optineurin
CD28	204	2.897	Core	1	0	0	CD28 molecule
IL2RG	205	2.895	Peripheral	0	0	0	interleukin 2 receptor subunit gamma
IKBKE	206	2.892	Peripheral	0	0	0	inhibitor of nuclear factor kappa B kinase subunit epsilon
CNEP1R1	207	2.892	Core	0	0	1	CTD nuclear envelope phosphatase 1 regulatory subunit 1
RUNX3	208	2.891	Core	1	0	0	RUNX family transcription factor 3
JUN	209	2.89	Peripheral	0	0	0	Jun proto-oncogene, AP-1 transcription factor subunit
TRAF3	210	2.889	Peripheral	0	0	0	TNF receptor associated factor 3
GAB2	211	2.888	Peripheral	0	0	0	GRB2 associated binding protein 2
CIRBP	212	2.886	Core	0	0	1	cold inducible RNA binding protein
ERN1	213	2.884	Core	1	0	1	endoplasmic reticulum to nucleus signaling 1
IL10RA	214	2.883	Peripheral	0	0	0	interleukin 10 receptor subunit alpha
PYCARD	215	2.881	Core	0	0	1	PYD and CARD domain containing
IFNL3	216	2.881	Peripheral	0	0	0	interferon lambda 3
TRADD	217	2.88	Peripheral	0	0	0	TNFRSF1A associated via death domain
IL2RB	218	2.88	Peripheral	0	0	0	interleukin 2 receptor subunit beta
LCE3B	219	2.879	Core	1	0	0	late cornified envelope 3B
LCE3C	220	2.878	Core	1	0	0	late cornified envelope 3C
IFNA8	221	2.877	Peripheral	0	0	0	interferon alpha 8
GPSM1	222	2.877	Core	1	0	0	G protein signaling modulator 1
IL6ST	223	2.876	Peripheral	0	0	0	interleukin 6 cytokine family signal transducer
FCGR2A	224	2.875	Core	1	0	0	Fc gamma receptor IIa
SOS1	225	2.873	Peripheral	0	0	0	SOS Ras/Rac guanine nucleotide exchange factor 1
EGFR	226	2.868	Peripheral	0	0	0	epidermal growth factor receptor
IL1B	227	2.866	Peripheral	0	0	0	interleukin 1 beta
SHARPIN	228	2.863	Peripheral	0	0	0	SHANK associated RH domain interactor
IRF9	229	2.861	Peripheral	0	0	0	interferon regulatory factor 9
LCK	230	2.858	Peripheral	0	0	0	LCK proto-oncogene, Src family tyrosine kinase
APOB	231	2.856	Peripheral	0	0	0	apolipoprotein B
PPP5C	232	2.855	Core	1	0	0	protein phosphatase 5 catalytic subunit
IL20RA	233	2.854	Peripheral	0	0	0	interleukin 20 receptor subunit alpha
GAD2	234	2.854	Peripheral	0	0	0	glutamate decarboxylase 2
SHC1	235	2.854	Peripheral	0	0	0	SHC adaptor protein 1
RAD50	236	2.852	Core	0	0	1	RAD50 double strand break repair protein
MSN	237	2.851	Peripheral	0	0	0	moesin
MAP2K6	238	2.85	Peripheral	0	0	0	mitogen-activated protein kinase kinase 6
PTGER4	239	2.849	Core	0	0	1	prostaglandin E receptor 4
MAVS	240	2.848	Peripheral	0	0	0	mitochondrial antiviral signaling protein
SETD1A	241	2.844	Core	1	0	1	SET domain containing 1A, histone lysine methyltransferase
IL13RA1	242	2.844	Peripheral	0	0	0	interleukin 13 receptor subunit alpha 1
IL27RA	243	2.843	Peripheral	0	0	0	interleukin 27 receptor subunit alpha
SQSTM1	244	2.843	Peripheral	0	0	0	sequestosome 1
RBCK1	245	2.841	Peripheral	0	0	0	RANBP2-type and C3HC4-type zinc finger containing 1
IL24	246	2.839	Peripheral	0	0	0	interleukin 24
IL12RB2	247	2.838	Peripheral	0	0	0	interleukin 12 receptor subunit beta 2
IFNL1	248	2.835	Peripheral	0	0	0	interferon lambda 1
PIAS1	249	2.832	Peripheral	0	0	0	protein inhibitor of activated STAT 1
RNF31	250	2.83	Peripheral	0	0	0	ring finger protein 31
NOS2	251	2.828	Core	1	0	0	nitric oxide synthase 2
EP300	252	2.824	Peripheral	0	0	0	E1A binding protein p300
VAV1	253	2.823	Peripheral	0	0	0	vav guanine nucleotide exchange factor 1
IL4R	254	2.822	Peripheral	0	0	0	interleukin 4 receptor
IRAK1	255	2.822	Peripheral	0	0	0	interleukin 1 receptor associated kinase 1
CASP8	256	2.821	Peripheral	0	0	0	caspase 8
IL20RB	257	2.821	Peripheral	0	0	0	interleukin 20 receptor subunit beta
IFNL2	258	2.82	Peripheral	0	0	0	interferon lambda 2
EGF	259	2.817	Peripheral	0	0	0	epidermal growth factor
NOD1	260	2.817	Peripheral	0	0	0	nucleotide binding oligomerization domain containing 1
TBK1	261	2.815	Peripheral	0	0	0	TANK binding kinase 1
UBE2D3	262	2.812	Core	0	0	1	ubiquitin conjugating enzyme E2 D3
ERBB2	263	2.811	Peripheral	0	0	0	erb-b2 receptor tyrosine kinase 2
STAT5B	264	2.81	Peripheral	0	0	0	signal transducer and activator of transcription 5B
PRKAR2A	265	2.809	Core	1	0	0	protein kinase cAMP-dependent type II regulatory subunit alpha
HCK	266	2.806	Core	1	0	0	HCK proto-oncogene, Src family tyrosine kinase
CISH	267	2.805	Peripheral	0	0	0	cytokine inducible SH2 containing protein
CSF1	268	2.805	Peripheral	0	0	0	colony stimulating factor 1
RIPK3	269	2.798	Peripheral	0	0	0	receptor interacting serine/threonine kinase 3
SPATA2	270	2.791	Peripheral	0	0	0	spermatogenesis associated 2
XIAP	271	2.788	Peripheral	0	0	0	X-linked inhibitor of apoptosis
TRIB1	272	2.787	Core	0	0	1	tribbles pseudokinase 1
IRF3	273	2.786	Peripheral	0	0	0	interferon regulatory factor 3
MAP2K1	274	2.786	Peripheral	0	0	0	mitogen-activated protein kinase kinase 1
MAPK14	275	2.785	Peripheral	0	0	0	mitogen-activated protein kinase 14
ACTB	276	2.781	Peripheral	0	0	0	actin beta
IL11	277	2.78	Peripheral	0	0	0	interleukin 11
HSP90AA1	278	2.778	Peripheral	0	0	0	heat shock protein 90 alpha family class A member 1
TNFRSF8	279	2.775	Peripheral	0	0	0	TNF receptor superfamily member 8
RPS6KB1	280	2.774	Core	1	0	0	ribosomal protein S6 kinase B1
KRAS	281	2.774	Peripheral	0	0	0	KRAS proto-oncogene, GTPase
SH2D4B	282	2.771	Core	1	0	1	SH2 domain containing 4B
HGF	283	2.77	Peripheral	0	0	0	hepatocyte growth factor
TRAIP	284	2.769	Core	1	0	0	TRAF interacting protein
IL7R	285	2.767	Peripheral	0	0	0	interleukin 7 receptor
GAB1	286	2.764	Peripheral	0	0	0	GRB2 associated binding protein 1
CNN2	287	2.761	Core	0	0	1	calponin 2
PLEKHG6	288	2.759	Core	1	0	0	pleckstrin homology and RhoGEF domain containing G6
UBC	289	2.758	Peripheral	0	0	0	ubiquitin C
ATF2	290	2.749	Peripheral	0	0	0	activating transcription factor 2
CRLF2	291	2.749	Peripheral	0	0	0	cytokine receptor like factor 2
RTEL1	292	2.748	Core	1	0	0	regulator of telomere elongation helicase 1
SYK	293	2.748	Peripheral	0	0	0	spleen associated tyrosine kinase
RAVER1	294	2.746	Core	1	0	1	ribonucleoprotein, PTB binding 1
ICAM2	295	2.746	Peripheral	0	0	0	intercellular adhesion molecule 2
PLCG1	296	2.744	Peripheral	0	0	0	phospholipase C gamma 1
PTPN1	297	2.743	Peripheral	0	0	0	protein tyrosine phosphatase non-receptor type 1
CD209	298	2.742	Peripheral	0	0	0	CD209 molecule
IFIH1	299	2.738	Core	1	0	0	interferon induced with helicase C domain 1
OSM	300	2.736	Peripheral	0	0	0	oncostatin M
LSP1	301	2.735	Peripheral	0	0	0	lymphocyte specific protein 1
CNTF	302	2.735	Core	1	0	0	ciliary neurotrophic factor
HMGB1	303	2.734	Peripheral	0	0	0	high mobility group box 1
CCL20	304	2.733	Core	1	0	0	C-C motif chemokine ligand 20
SELP	305	2.732	Peripheral	0	0	0	selectin P
SMARCA4	306	2.731	Peripheral	0	0	0	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
PPP3R1	307	2.731	Peripheral	0	0	0	protein phosphatase 3 regulatory subunit B, alpha
GATA3	308	2.728	Peripheral	0	0	0	GATA binding protein 3
MYD88	309	2.727	Peripheral	0	0	0	MYD88 innate immune signal transduction adaptor
ARFRP1	310	2.726	Core	1	0	0	ADP ribosylation factor related protein 1
FOXP3	311	2.726	Peripheral	0	0	0	forkhead box P3
IRF7	312	2.726	Peripheral	0	0	0	interferon regulatory factor 7
IL21R	313	2.725	Peripheral	0	0	0	interleukin 21 receptor
IL13RA2	314	2.723	Peripheral	0	0	0	interleukin 13 receptor subunit alpha 2
KCNIP3	315	2.723	Peripheral	0	0	0	potassium voltage-gated channel interacting protein 3
FAS	316	2.722	Core	1	0	0	Fas cell surface death receptor
VAMP1	317	2.72	Core	0	0	1	vesicle associated membrane protein 1
BCL7C	318	2.718	Core	1	0	0	BAF chromatin remodeling complex subunit BCL7C
DDX58	319	2.718	Peripheral	0	0	0	DExD/H-box helicase 58
IL3RA	320	2.717	Peripheral	0	0	0	interleukin 3 receptor subunit alpha
SEPHS2	321	2.716	Core	1	0	1	selenophosphate synthetase 2
ITGA1	322	2.714	Peripheral	0	0	0	integrin subunit alpha 1
IL1RL1	323	2.712	Core	1	0	0	interleukin 1 receptor like 1
B3GALT5	324	2.711	Peripheral	0	0	0	beta-1,3-galactosyltransferase 5
CREBBP	325	2.71	Peripheral	0	0	0	CREB binding protein
GAD1	326	2.708	Peripheral	0	0	0	glutamate decarboxylase 1
ITGB1	327	2.708	Peripheral	0	0	0	integrin subunit beta 1
FOSL2	328	2.706	Core	1	0	0	FOS like 2, AP-1 transcription factor subunit
PPP1R1B	329	2.706	Core	0	0	1	protein phosphatase 1 regulatory inhibitor subunit 1B
IRF4	330	2.705	Peripheral	0	0	0	interferon regulatory factor 4
PIK3R2	331	2.702	Peripheral	0	0	0	phosphoinositide-3-kinase regulatory subunit 2
PTPN6	332	2.702	Peripheral	0	0	0	protein tyrosine phosphatase non-receptor type 6
TLR2	333	2.701	Peripheral	0	0	0	toll like receptor 2
IRF2	334	2.7	Peripheral	0	0	0	interferon regulatory factor 2
CASP14	335	2.699	Peripheral	0	0	0	caspase 14
ICAM5	336	2.699	Core	1	0	1	intercellular adhesion molecule 5
IFNA4	337	2.695	Peripheral	0	0	0	interferon alpha 4
PTPA	338	2.693	Peripheral	0	0	0	protein phosphatase 2 phosphatase activator
NRAS	339	2.692	Peripheral	0	0	0	NRAS proto-oncogene, GTPase
BECN1	340	2.691	Peripheral	0	0	0	beclin 1
FOXO1	341	2.69	Peripheral	0	0	0	forkhead box O1
IL18	342	2.687	Peripheral	0	0	0	interleukin 18
CLN5	343	2.685	Peripheral	0	0	0	CLN5 intracellular trafficking protein
MFSD8	343	2.685	Peripheral	0	0	0	major facilitator superfamily domain containing 8
IFNA10	345	2.685	Peripheral	0	0	0	interferon alpha 10
IFNA16	345	2.685	Peripheral	0	0	0	interferon alpha 16
IFNA7	345	2.685	Peripheral	0	0	0	interferon alpha 7
TRPC1	348	2.685	Peripheral	0	0	0	transient receptor potential cation channel subfamily C member 1
IL18R1	349	2.682	Core	1	0	0	interleukin 18 receptor 1
CCNA2	350	2.682	Core	0	0	1	cyclin A2
CDKN1B	351	2.68	Peripheral	0	0	0	cyclin dependent kinase inhibitor 1B
MAP2K2	352	2.679	Peripheral	0	0	0	mitogen-activated protein kinase kinase 2
CCL11	353	2.676	Core	1	0	0	C-C motif chemokine ligand 11
IL1A	354	2.672	Peripheral	0	0	0	interleukin 1 alpha
CNTFR	355	2.672	Peripheral	0	0	0	ciliary neurotrophic factor receptor
CHD4	356	2.671	Core	0	0	1	chromodomain helicase DNA binding protein 4
LMO4	357	2.668	Peripheral	0	0	0	LIM domain only 4
PPP2CA	358	2.667	Peripheral	0	0	0	protein phosphatase 2 catalytic subunit alpha
UBB	359	2.667	Peripheral	0	0	0	ubiquitin B
CLIP3	360	2.666	Peripheral	0	0	0	CAP-Gly domain containing linker protein 3
NFKB2	361	2.665	Peripheral	0	0	0	nuclear factor kappa B subunit 2
CBL	362	2.665	Peripheral	0	0	0	Cbl proto-oncogene
RNU6-450P	363	2.663	Core	1	0	1	RNA, U6 small nuclear 450, pseudogene
IL3	364	2.663	Peripheral	0	0	0	interleukin 3
PTPRE	365	2.663	Peripheral	0	0	0	protein tyrosine phosphatase receptor type E
CD40	366	2.661	Core	1	0	0	CD40 molecule
NAA35	367	2.659	Peripheral	0	0	0	N-alpha-acetyltransferase 35, NatC auxiliary subunit
TP53	368	2.658	Peripheral	0	0	0	tumor protein p53
PRKCZ	369	2.658	Peripheral	0	0	0	protein kinase C zeta
ZGLP1	370	2.658	Core	1	0	1	zinc finger GATA like protein 1
RPS27A	371	2.655	Peripheral	0	0	0	ribosomal protein S27a
PDGFRB	372	2.654	Peripheral	0	0	0	platelet derived growth factor receptor beta
HGFAC	373	2.654	Peripheral	0	0	0	HGF activator
UBAC2	374	2.653	Core	1	0	1	UBA domain containing 2
TRAF1	375	2.652	Peripheral	0	0	0	TNF receptor associated factor 1
TNFSF14	376	2.65	Peripheral	0	0	0	TNF superfamily member 14
